"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401520254,4,2023,"Houston","Sam Houston State",5,1,1,0
401520255,4,2023,"Illinois","Florida Atlantic",3,1,2,1
401520256,4,2023,"Indiana","Akron",2,2,3,2
401520257,4,2023,"Jacksonville State","Eastern Michigan",7,0,0,0
401520258,4,2023,"LSU","Arkansas",4,2,3,3
401520259,4,2023,"Missouri","Memphis",3,2,3,2
401520260,4,2023,"Michigan","Rutgers",3,1,1,0
401520261,4,2023,"Michigan State","Maryland",1,1,4,1
401520262,4,2023,"Middle Tennessee","Colorado State",3,1,3,1
401520263,4,2023,"Nebraska","Louisiana Tech",4,0,2,0
401520264,4,2023,"Northwestern","Minnesota",5,1,4,2
401520265,4,2023,"Penn State","Iowa",4,1,0,0
401520266,4,2023,"Purdue","Wisconsin",2,1,4,3
401520267,4,2023,"South Carolina","Mississippi State",5,1,3,3
401520268,4,2023,"Syracuse","Army",3,3,2,1
401520269,4,2023,"Tennessee","UT San Antonio",5,1,2,0
401520270,4,2023,"Texas A&M","Auburn",3,2,0,1
401520271,4,2023,"Troy","Western Kentucky",3,2,3,1
401520272,4,2023,"Connecticut","Duke",1,0,4,2
401520273,4,2023,"UTEP","UNLV",4,0,6,1
401520274,4,2023,"Vanderbilt","Kentucky",3,2,4,1
401520275,4,2023,"Florida International","Liberty",1,0,5,1
401520276,5,2023,"Sam Houston State","Jacksonville State",4,0,13,0
401520277,5,2023,"Western Kentucky","Middle Tennessee",4,1,1,1
401520278,5,2023,"UTEP","Louisiana Tech",1,1,2,1
401520279,5,2023,"Arkansas","Texas A&M",1,3,2,2
401520280,5,2023,"Auburn","Georgia",2,2,3,2
401520281,5,2023,"Iowa","Michigan State",1,4,0,3
401520282,5,2023,"Kentucky","Florida",4,2,2,0
401520283,5,2023,"Maryland","Indiana",6,1,2,1
401520284,5,2023,"Minnesota","Louisiana",5,0,3,1
401520285,5,2023,"Mississippi State","Alabama",2,1,3,4
401520286,5,2023,"Nebraska","Michigan",1,0,6,1
401520287,5,2023,"Northwestern","Penn State",1,2,5,2
401520288,5,2023,"Ole Miss","LSU",7,2,7,0
401520289,5,2023,"Purdue","Illinois",5,1,2,2
401520290,5,2023,"Rutgers","Wagner",7,1,0,1
401520291,5,2023,"Tennessee","South Carolina",4,2,2,2
401520292,5,2023,"Connecticut","Utah State",4,2,4,2
401520293,5,2023,"Vanderbilt","Missouri",3,0,5,1
401520294,6,2023,"Middle Tennessee","Jacksonville State",4,1,5,1
401520295,6,2023,"Louisiana Tech","Western Kentucky",4,0,5,0
401520296,6,2023,"Liberty","Sam Houston State",3,0,2,1
401520297,6,2023,"New Mexico State","Florida International",4,2,2,1
401520301,6,2023,"Illinois","Nebraska",1,0,2,2
401521330,4,2023,"Notre Dame","Ohio State",2,0,2,1
401523986,1,2023,"USC","San José State",3,0,4,0
401523987,1,2023,"Arizona State","Southern Utah",3,1,2,0
401523988,1,2023,"Hawai'i","Stanford",3,1,4,3
401523989,1,2023,"Arizona","Northern Arizona",4,1,0,1
401523990,1,2023,"Colorado State","Washington State",2,1,7,1
401523991,1,2023,"North Texas","California",3,0,8,1
401523992,1,2023,"Oregon","Portland State",11,1,1,0
401523994,1,2023,"TCU","Colorado",6,0,6,1
401523995,1,2023,"UCLA","Coastal Carolina",3,2,1,2
401523996,1,2023,"USC","Nevada",8,1,2,0
401523997,1,2023,"Washington","Boise State",8,0,2,2
401523998,2,2023,"Arizona State","Oklahoma State",2,0,3,2
401523999,2,2023,"Baylor","Utah",1,2,2,2
401524000,2,2023,"Oregon State","UC Davis",6,2,1,0
401524001,2,2023,"San Diego State","UCLA",1,1,5,0
401524002,2,2023,"Texas Tech","Oregon",4,1,3,3
401524003,2,2023,"USC","Stanford",7,0,1,1
401524004,2,2023,"Washington","Tulsa",6,0,1,1
401524005,3,2023,"Arizona State","Fresno State",0,0,2,5
401524006,3,2023,"California","Idaho",4,1,2,1
401524007,3,2023,"Colorado","Colorado State",4,2,4,0
401524008,3,2023,"Oregon","Hawai'i",7,2,1,1
401524009,3,2023,"Oregon State","San Diego State",3,2,1,1
401524011,3,2023,"UCLA","North Carolina Central",8,1,1,0
401524012,3,2023,"Utah","Weber State",3,1,1,0
401524013,3,2023,"Washington State","Northern Colorado",9,0,3,0
401524014,4,2023,"Arizona State","USC",3,2,5,2
401524015,4,2023,"Oregon","Colorado",6,0,1,0
401524016,4,2023,"Stanford","Arizona",2,2,3,0
401524017,4,2023,"Utah","UCLA",1,0,1,0
401524018,4,2023,"Washington","California",6,1,5,0
401524019,4,2023,"Washington State","Oregon State",5,1,5,0
401524020,5,2023,"Oregon State","Utah",3,0,1,0
401524021,5,2023,"Arizona","Washington",3,1,4,1
401524022,5,2023,"California","Arizona State",3,1,2,2
401524023,5,2023,"Colorado","USC",6,0,7,0
401524024,5,2023,"Stanford","Oregon",0,2,6,0
401525434,1,2023,"Notre Dame","Navy",6,0,0,1
401525435,1,2023,"Notre Dame","Tennessee State",7,0,0,1
401525436,2,2023,"NC State","Notre Dame",3,1,6,1
401525437,3,2023,"Notre Dame","Central Michigan",5,2,2,1
401525438,5,2023,"Duke","Notre Dame",2,0,2,2
401525450,1,2023,"New Mexico State","UMass",4,1,4,2
401525461,1,2023,"Wake Forest","Elon",4,3,1,1
401525463,1,2023,"Miami","Miami (OH)",4,3,0,1
401525464,1,2023,"Boston College","Northern Illinois",0,1,1,0
401525465,1,2023,"Pittsburgh","Wofford",6,1,1,0
401525466,1,2023,"Syracuse","Colgate",8,1,0,0
401525467,1,2023,"Virginia Tech","Old Dominion",3,3,2,1
401525468,1,2023,"Duke","Clemson",3,2,1,0
